"1","1","7","8","6","1","397","532","352","70","1436181302303","1436181302303","0","3","0"
"2","1","7","8","6","1","397","532","352","70","1436181302303","1436181302303","0","3","0"
"3","1","7","8","6","1","397","532","352","70","1436181302303","1436181302303","0","3","0"
"4","1","7","8","6","1","397","532","352","70","1436181302303","1436181302303","0","3","0"
"5","1","7","8","6","1","397","532","352","70","1436181302303","1436181302303","0","3","0"
"6","1","7","6","6","7","397","664","352","730","1436183543434","1436183543773","0","0","0"
"7","1","6","7","6","12","352","730","352","1047","1436183544390","1436183544977","0","0","0"
"8","1","6","8","0","9","352","1047","82","1126","1436183545620","1436183546121","0","0","0"
"9","1","0","2","3","7","82","1126","217","1456","1436183547057","1436183547645","0","0","0"
"10","1","7","6","6","7","397","664","352","730","1436183543434","1436183543773","0","0","0"
"11","1","6","7","6","12","352","730","352","1047","1436183544390","1436183544977","0","0","0"
"12","1","6","8","0","9","352","1047","82","1126","1436183545620","1436183546121","0","0","0"
"13","1","0","2","3","7","82","1126","217","1456","1436183547057","1436183547645","0","0","0"
"14","2","5","0","2","1","834","45","393","180","1436181985046","1436181985046","0","0","0"
"15","1","7","6","6","7","397","664","352","730","1436183543434","1436183543773","0","0","0"
"16","1","6","7","6","12","352","730","352","1047","1436183544390","1436183544977","0","0","0"
"17","1","6","8","0","9","352","1047","82","1126","1436183545620","1436183546121","0","0","0"
"18","1","0","2","3","7","82","1126","217","1456","1436183547057","1436183547645","0","0","0"
"19","2","5","0","2","1","834","45","393","180","1436181985046","1436181985046","0","0","0"
"20","2","5","0","2","1","834","45","393","180","1436181985046","1436181985046","0","0","0"
"21","2","5","0","2","1","834","45","393","180","1436181985046","1436181985046","0","0","0"
"22","1","7","6","6","7","397","664","352","730","1436183543434","1436183543773","0","0","0"
"23","1","6","7","6","12","352","730","352","1047","1436183544390","1436183544977","0","0","0"
"24","1","6","8","0","9","352","1047","82","1126","1436183545620","1436183546121","0","0","0"
"25","1","0","2","3","7","82","1126","217","1456","1436183547057","1436183547645","0","0","0"
